,uptime,temperature,humidity,aqi,winp,wind,weather,rtu2
373,2019/7/2 20:15,27,74,74,1,0,3,0.0
374,2019/7/2 21:15,26,80,58,1,4,3,0.0
375,2019/7/2 22:15,25,79,51,1,0,3,0.0
376,2019/7/2 23:15,25,77,45,2,4,3,0.0
377,2019/7/1 1:15,25,95,51,1,1,3,0.0
378,2019/7/1 2:15,25,95,39,1,4,3,0.0
379,2019/7/1 3:15,25,94,45,1,7,3,0.0
380,2019/7/1 4:15,25,96,52,2,1,3,0.0
381,2019/7/1 20:15,28,65,74,2,5,3,0.0
382,2019/7/1 21:15,27,81,72,2,5,3,0.0
383,2019/7/1 22:15,27,83,63,1,4,3,0.0
384,2019/7/1 23:15,27,85,59,2,5,4,0.0
385,2019/6/30 1:15,24,99,34,1,2,3,0.0
386,2019/6/30 2:15,24,99,34,1,2,3,0.0
387,2019/6/30 3:15,24,99,28,1,6,3,0.0
388,2019/6/30 4:15,24,99,28,2,2,3,0.0
389,2019/6/30 20:15,28,84,34,1,6,3,0.0
390,2019/6/30 21:15,27,87,34,1,1,3,0.0
391,2019/6/30 22:15,26,91,30,2,1,3,0.0
392,2019/6/30 23:15,26,85,39,2,1,3,0.0
393,2019/6/29 1:15,24,99,29,3,7,3,0.0
394,2019/6/29 2:15,24,99,29,2,7,0,0.0
395,2019/6/29 3:15,24,99,28,2,7,0,0.0
396,2019/6/29 4:15,24,99,30,2,7,0,0.0
397,2019/6/29 20:15,25,98,35,1,2,1,0.0
398,2019/6/29 21:15,25,98,37,0,8,1,0.0
399,2019/6/29 22:15,25,99,30,0,8,1,0.0
400,2019/6/29 23:15,24,99,26,2,2,3,0.0
401,2019/6/28 1:15,25,86,66,2,0,4,0.0
402,2019/6/28 2:15,25,86,64,2,0,4,0.0
403,2019/6/28 20:15,29,90,70,2,4,1,0.0
404,2019/6/28 21:15,29,93,68,1,6,1,0.0
405,2019/6/28 22:15,28,99,68,3,6,0,0.0
406,2019/6/28 23:15,25,99,69,3,1,3,0.0
407,2019/6/27 1:10,23,94,57,2,0,3,0.0
408,2019/6/27 2:10,22,98,59,2,5,3,0.0
409,2019/6/27 3:10,22,98,60,2,0,3,0.0
410,2019/6/27 4:10,22,99,60,1,0,3,0.0
411,2019/6/27 22:15,25,90,68,1,4,4,0.0
412,2019/6/27 23:15,24,95,75,1,0,4,0.0
413,2019/6/26 1:10,22,96,49,1,5,3,0.0
414,2019/6/26 2:10,21,99,49,1,5,3,0.0
415,2019/6/26 3:10,21,99,50,1,5,3,0.0
416,2019/6/26 4:10,21,99,50,1,5,3,0.0
417,2019/6/26 20:10,27,74,49,1,4,1,0.0
418,2019/6/26 21:10,25,82,54,2,5,1,0.0
419,2019/6/26 22:10,25,86,58,2,0,1,0.0
420,2019/6/26 23:10,24,90,60,2,5,3,0.0
421,2019/6/25 1:00,22,79,50,2,0,3,0.0
422,2019/6/25 2:10,22,83,47,1,3,3,0.0
423,2019/6/25 3:10,21,85,54,1,5,3,0.0
424,2019/6/25 4:10,20,93,55,2,3,3,0.0
425,2019/6/25 20:10,25,78,52,1,4,3,0.0
426,2019/6/25 21:10,24,85,54,2,0,3,0.0
427,2019/6/25 22:10,24,86,57,2,4,3,0.0
428,2019/6/25 23:10,23,89,54,1,4,3,0.0
429,2019/6/24 1:10,20,97,59,0,8,3,0.0
430,2019/6/24 2:10,20,99,59,0,8,3,0.0
431,2019/6/24 3:10,19,99,58,0,8,3,0.0
432,2019/6/24 4:10,19,99,60,0,8,3,0.0
433,2019/6/24 20:10,24,78,51,1,5,1,0.0
434,2019/6/24 21:10,24,83,56,2,0,1,0.0
435,2019/6/24 22:05,23,84,61,1,5,1,0.0
436,2019/6/24 23:10,23,82,59,2,0,3,0.0
437,2019/6/23 1:10,20,99,84,1,3,3,0.0
438,2019/6/23 2:10,19,99,82,1,3,3,0.0
439,2019/6/23 3:10,19,99,77,2,3,3,0.0
440,2019/6/23 4:10,19,99,72,1,5,3,0.0
441,2019/6/23 20:10,25,69,48,2,0,1,0.0
442,2019/6/23 21:10,22,80,52,1,0,1,0.0
443,2019/6/23 22:10,21,91,56,1,0,1,0.0
444,2019/6/23 23:10,22,81,59,1,4,3,0.0
445,2019/6/22 1:00,23,95,64,1,5,3,0.0
446,2019/6/22 2:00,23,95,62,3,5,3,0.0
447,2019/6/22 3:00,23,92,57,3,5,3,0.0
448,2019/6/22 4:00,23,90,59,3,0,3,0.0
449,2019/6/22 20:10,23,88,63,1,4,3,0.0
450,2019/6/22 21:10,22,96,64,1,3,3,0.0
451,2019/6/22 22:10,21,98,69,0,8,3,0.0
452,2019/6/22 23:10,20,99,77,1,6,3,0.0
453,2019/6/21 1:15,20,99,25,2,5,0,0.0
454,2019/6/21 2:15,20,99,25,2,3,0,0.0
455,2019/6/21 3:15,20,99,23,2,5,0,0.0
456,2019/6/21 4:15,20,99,22,2,5,0,0.0
457,2019/6/21 20:10,25,92,53,1,0,3,0.0
458,2019/6/21 21:10,24,95,59,1,2,3,0.0
459,2019/6/21 22:10,24,96,60,1,5,3,0.0
460,2019/6/21 23:00,24,92,57,2,0,3,0.0
461,2019/6/20 1:15,23,99,24,2,4,1,0.0
462,2019/6/20 2:15,23,99,27,1,4,0,0.0
463,2019/6/20 3:10,23,99,31,2,0,0,0.0
464,2019/6/20 4:15,23,99,37,2,5,0,0.0
465,2019/6/20 20:15,20,99,26,2,0,1,0.0
466,2019/6/20 21:15,20,99,25,3,0,1,0.0
467,2019/6/20 22:15,20,99,26,2,5,1,0.0
468,2019/6/20 23:15,20,99,26,3,0,0,0.0
469,2019/6/19 1:10,21,99,28,0,8,2,0.0
470,2019/6/19 2:10,21,99,26,1,3,2,0.0
471,2019/6/19 3:10,21,99,24,0,8,2,0.0
472,2019/6/19 4:15,21,99,26,1,5,2,0.0
473,2019/6/19 20:15,24,97,32,1,2,1,0.0
474,2019/6/19 21:15,24,99,30,1,2,1,0.0
475,2019/6/19 22:15,23,98,22,1,4,1,0.0
476,2019/6/19 23:15,23,99,18,2,4,1,0.0
477,2019/6/18 1:10,21,99,23,2,4,0,0.0
478,2019/6/18 2:10,21,99,22,1,4,0,0.0
