,uptime,temperature,humidity,aqi,winp,wind,weather,rtu1
132,2020-05-07 03:04:00,18,88,62,2,0,4,0.0
133,2020-05-07 21:06:00,23,85,60,3,0,1,0.0
134,2020-05-07 23:11:00,23,85,55,2,0,1,0.0
135,2020-05-06 01:49:00,15,94,43,2,0,1,0.0
136,2020-05-06 03:05:00,15,91,45,2,0,1,0.0
137,2020-05-06 03:54:00,15,90,38,2,5,1,0.0
138,2020-05-06 21:04:00,20,77,60,3,0,3,0.0
139,2020-05-06 22:52:00,19,81,57,2,0,4,0.0
140,2020-05-05 01:05:00,20,90,46,2,5,1,0.0
141,2020-05-05 01:59:00,20,91,40,3,5,1,0.0
142,2020-05-05 03:00:00,19,91,44,3,3,1,0.0
143,2020-05-05 03:52:00,19,91,55,3,5,1,0.0
144,2020-05-05 20:00:00,15,99,33,2,5,1,0.0
145,2020-05-05 20:50:00,16,98,30,2,5,1,0.0
146,2020-05-05 22:00:00,15,99,36,2,5,1,0.0
147,2020-05-05 22:58:00,15,97,36,2,5,1,0.0
148,2020-05-04 01:09:00,21,99,68,1,5,4,0.0
149,2020-05-04 01:52:00,20,99,74,1,3,4,0.0
150,2020-05-04 02:58:00,20,99,75,0,8,4,0.0
151,2020-05-04 04:00:00,19,99,79,1,5,4,0.0
152,2020-05-04 04:52:00,19,99,76,1,3,4,0.0
153,2020-05-04 20:00:00,25,79,110,3,5,1,0.0
154,2020-05-04 20:57:00,23,83,75,4,0,1,0.0
155,2020-05-04 22:02:00,22,86,58,3,0,1,0.0
156,2020-05-04 23:01:00,21,88,56,3,5,1,0.0
157,2020-05-03 01:05:00,21,99,69,1,2,4,0.0
158,2020-05-03 01:56:00,21,99,69,1,2,4,0.0
159,2020-05-03 02:58:00,20,99,65,1,4,4,0.0
160,2020-05-03 03:58:00,19,99,62,1,4,4,0.0
161,2020-05-03 04:55:00,19,99,65,1,2,4,0.0
162,2020-05-03 20:54:00,24,73,97,1,2,4,0.0
163,2020-05-03 22:07:00,23,87,75,1,3,4,0.0
164,2020-05-03 23:00:00,22,95,67,1,2,4,0.0
165,2020-05-03 23:54:00,22,98,65,0,8,4,0.0
166,2020-05-02 01:53:00,18,99,57,1,5,4,0.0
167,2020-05-02 02:52:00,17,99,55,1,4,4,0.0
168,2020-05-02 03:59:00,17,99,63,1,0,4,0.0
169,2020-05-02 04:54:00,16,99,62,1,5,4,0.0
170,2020-05-02 20:04:00,26,81,83,0,8,4,0.0
171,2020-05-02 20:54:00,24,85,73,0,8,4,0.0
172,2020-05-02 21:57:00,23,94,67,0,8,4,0.0
173,2020-05-02 23:07:00,22,99,68,1,1,4,0.0
